numero,date,code,annee,titre,mode,type,entité,sous-entité,montant,devise,taxes,titulaire
72,2011-01-21,T0072/11,2010,Construction d'un pôle agricole et logistique de mise en marché à Guia dans le département de Podor et de réhabilitation du centre rural pour l'innovation et la qualité de Ndiaye dans le Département de Saint louis,Appel d'offres ouvert,Travaux,Agence d'Execution des Travaux d'Intérêt Public contre le sous-emploi AGETIP,,169719568.00,F CFA,TTC,S.E.B.T.P.A SARL
76,2011-01-26,C0076/11,2010,"Avenant n°1 au marché n° C0669/08 relatif à l'Etude du plan directeur d'assainissement de Ziguinchor pour la réalisation de sites pilotes de démonstration, le suivi des travaux et l'organisation d'une table ronde des bailleurs",Avenant,Prestations intellectuelles,ONAS,,95761000.00,F CFA,HD-HT,Groupement EDE-PECHER
78,2011-01-26,C0078/11,2010,"Contrôle technique des travaux de construction de 404 salles de classe, 54 blocs administratifs, 55 blocs d'hygiène et 20 murs de clôture dans les régions de Matam et Saint Louis (Département de PODOR)",DP/LR,Prestations intellectuelles,Agence d'Execution des Travaux d'Intérêt Public contre le sous-emploi AGETIP,,14276600.00,F CFA,HD-HT,Bureau ALPAGES
74,2011-01-26,T0074/11,2010,"Construction des sièges des Communes d'Arrondissement de Rufisque Est, Ouest et Nord",Appel d'offres ouvert,Travaux,Agence d'Execution des Travaux d'Intérêt Public contre le sous-emploi AGETIP,,177336234.00,F CFA,HD-HT,Société de Construction et d'Ingenierie (SCI)
75,2011-01-26,T0075/11,2011,Avenant n° 1 au marché n° T0375/08 relatif aux travaux d'aménagement de la route Labé-Seriba-Médina Gounass-Tambacounda et la Facilitation du transport sur le corridor Conakry-Dakar: tronçon Tambacounda - Médina Gounass (PK14 au PK80),Avenant,Travaux,Agence Autonome des Travaux Routiers ,,0.00,F CFA,TTC,Groupement SINTRAM-HOUAR
77,2011-01-26,T0077/11,2010,Densification et extension de réseaux d'électricité et d'éclairage publics dans la Commune de PASSY,Appel d'offres ouvert,Travaux,Agence d'Execution des Travaux d'Intérêt Public contre le sous-emploi AGETIP,,24191900.00,F CFA,HD-HT,Entreprise de Travaux Modernes (ETM)
79,2011-01-26,T0079/11,2010,Travaux de construction de routes de connectivité à l'Autoroute à péage et d'aménagement de la RN1 entre Rufisque et DIAMNADIO y compris les voiries connexes de Rufisque,Appel d'offres ouvert,Travaux,Agence Autonome des Travaux Routiers ,,31447524999.00,F CFA,TTC,Groupement CSE/EIFFAGE Sénégal SA
80,2011-01-27,F0080/11,2010,Equipement de 257 salles de classes et de 30 blocs administratifs dans le département de Louga (lot n°3),Appel d'offres ouvert,Fournitures,Agence d'Execution des Travaux d'Intérêt Public contre le sous-emploi AGETIP,,76884920.00,F CFA,HD-HT,GECOM - INDUSTRIES
81,2011-01-27,F0081/11,2010,Equipement de 257 salles de classes et de 30 blocs administratifs dans le département de Louga (lot n°2),Appel d'offres ouvert,Fournitures,Agence d'Execution des Travaux d'Intérêt Public contre le sous-emploi AGETIP,,56337960.00,F CFA,HD-HT,GECOM - INDUSTRIES
82,2011-01-27,F0082/11,2010,Equipement de 257 salles de classes et de 30 blocs administratifs dans le département de Louga (lot n°1),Appel d'offres ouvert,Fournitures,Agence d'Execution des Travaux d'Intérêt Public contre le sous-emploi AGETIP,,52632860.00,F CFA,HD-HT,GECOM - INDUSTRIES
83,2011-01-27,F0083/11,2010,Equipement de 247 salles de classes et de 35 blocs administratifs dans la région de Matam (lot n° 2),Appel d'offres ouvert,Fournitures,Agence d'Execution des Travaux d'Intérêt Public contre le sous-emploi AGETIP,,75388000.00,F CFA,HD-HT,FERMON LABO
84,2011-01-27,F0084/11,2010,Equipement de 247 salles de classes et de 35 blocs administratifs dans la région de Matam (lot n° 3),Appel d'offres ouvert,Fournitures,Agence d'Execution des Travaux d'Intérêt Public contre le sous-emploi AGETIP,,73378701.00,F CFA,HD-HT,AMINA CORPORATION
87,2011-01-27,F0086/11,2010,Acquisition de 48 922 manuels en langues nationales,Appel d'offres ouvert,Fournitures,"Ministère de l'Education chargé de l'Enseignement Préscolaire, de l'Elémentaire et du Moyen",,91070070.00,F CFA,TTC,FERMON LABO
86,2011-01-27,F0087/11,2011,Fourniture en quatre (04) lots de tenues de travail pour le Personnel de l'Agence des Aéroports du Sénégal (ADS) (lots n° 1 2 3 et 4),Appel d'offres ouvert,Fournitures,Agence des aéroports du Sénégal (ADS),,121717826.00,F CFA,TTC,GIE Keur Khadim
85,2011-01-27,S0085/11,2010,Service de gardiennage et de surveillance des locaux et sites de l'Agence des Aéroports du Sénégal (lot n° 1: enceinte du périmètre aéroportuaire),Appel d'offres ouvert,Services courants,Agence des aéroports du Sénégal (ADS),,63401400.00,F CFA,TTC,AGENCE LAT SECURITE
89,2011-01-28,F0089/11,2010,Fourniture de petits matériels de laboratoires,Appel d'offres ouvert,Fournitures,ITA,,8403134.00,F CFA,TTC,FERMON LABO
90,2011-01-28,F0090/11,2010,Fourniture de produits chimiques et microbiologiques,Appel d'offres ouvert,Fournitures,ITA,,6559000.00,F CFA,TTC,Diffusion-Repré sentation-Promo tion (DRP)
88,2011-01-28,S0088/11,2010,Nettoiement et entretien des locaux et sites de l'Agence des Aéroports du Sénégal (lot n° 3),Appel d'offres ouvert,Services courants,Agence des aéroports du Sénégal (ADS),,100069832.00,F CFA,TTC,Ets KEBE KHEWEUL
91,2011-01-28,S0091/11,2011,Nettoiement et entretien des locaux à usage de bureaux de l'ONAS,Appel d'offres ouvert,Services courants,ONAS, HALD,29736000.00,F CFA,TTC,GIE Dabakh Malick
92,2011-01-31,F0092/11,2010,Equipement de 247 salles de classes et de 35 blocs administratifs dans la région de Matam (lot n° 1),Appel d'offres ouvert,Fournitures,Agence d'Execution des Travaux d'Intérêt Public contre le sous-emploi AGETIP,,41626329.00,F CFA,HD-HT,AMINA CORPORATION
93,2011-01-31,F0093/11,2010,Equipement de 218 salles de classes et de 30 blocs administratifs dans le département de Kaffrine (lot n° 3),Appel d'offres ouvert,Fournitures,Agence d'Execution des Travaux d'Intérêt Public contre le sous-emploi AGETIP,,45162880.00,F CFA,HD-HT,GECOM - INDUSTRIES
94,2011-01-31,F0094/11,2010,Equipement de 157 salles de classe et de 19 blocs administratifs dans le département de Podor (lot n° 1),Appel d'offres ouvert,Fournitures,Agence d'Execution des Travaux d'Intérêt Public contre le sous-emploi AGETIP,,57470400.00,F CFA,HD-HT,DUCHKA PRES SERVICES SARL
95,2011-01-31,T0095/11,2010,Réhabilitation de l'éclairage public du BD Souleymane Bournel DIOUF dans la Commune de Fatick,Appel d'offres ouvert,Travaux,Agence d'Execution des Travaux d'Intérêt Public contre le sous-emploi AGETIP,,22438800.00,F CFA,HD-HT,Entreprise de Travaux Modernes (ETM)
96,2011-01-31,T0096/11,2010,Alimentation électrique par énergie solaire de 14 postes de santé dans les départements de Kédougou et Ranérou,Appel d'offres ouvert,Travaux,Agence d'Execution des Travaux d'Intérêt Public contre le sous-emploi AGETIP,,132181430.00,F CFA,HD-HT,TENESOL Afrique de l'Ouest
98,2011-02-01,F0097/11,2010,Equipement de 218 salles de classes et de 30 blocs administratifs dans le département de Kaffrine (lot n° 1),Appel d'offres ouvert,Fournitures,Agence d'Execution des Travaux d'Intérêt Public contre le sous-emploi AGETIP,,57301160.00,F CFA,HD-HT,GECOM - INDUSTRIES
99,2011-02-01,F0099/11,2010,Fourniture de matériels de collecte,Appel d'offres ouvert,Fournitures,Agence Nationale de la Propreté du Sénégal (APROSEN),,134520000.00,F CFA,TTC,NEGODIS
100,2011-02-01,F0100/11,2010,Fourniture de petits matériels et d'équipements divers,Appel d'offres ouvert,Fournitures,Agence Nationale de la Propreté du Sénégal (APROSEN),,56557400.00,F CFA,TTC,NEGODIS
101,2011-02-01,F0101/11,2010,Fourniture de pompes à axes vertical et d'électropompes immergées (lot n°2),Appel d'offres ouvert,Fournitures,"Ministère de l'Habitat , de la Construction et de l'Hydraulique",,151716140.00,F CFA,TTC,AFCO
97,2011-02-01,T0098/11,2010,Projet d'assainissement des eaux usées de la ville de Louga - tranche 2,Appel d'offres ouvert,Travaux,ONAS,,1453172244.00,F CFA,HD-HT,SVTP/GC
106,2011-02-02,C0104/11,2010,Avenant n°1 au marché C0159/09 relatif à la Supervision des travaux de réhabilitation de la route Tambacounda-Médina Gounass (PK14 au PK80),Avenant,Prestations intellectuelles,Agence des Travaux et de Gestion des Routes du Sénégal (AGEROUTE),,109956000.00,F CFA,TTC,CIRA Ingénieurs Conseils
103,2011-02-02,C0108/11,2010,"Convention d'une durée de quinze (15) ans pour la gestion de l'activité de contrôle technique des véhicules et ouvrages dudit contrôle (financement : redevance de fonctionnement = 20,1% du chiffre d'affaires hors taxe)",Appel d'offres avec préqualification,Prestations intellectuelles,CETUD,,0.00,F CFA,TTC,BUREAU VERITAS
105,2011-02-02,F0103/11,2010,"Fourniture de divers mobiliers et matériels d'appartement destinés à Madame Seynabou Ly MBACKE, Ministre de l'Entreprenariat féminin et de la Micro finance",Entente directe,Fournitures,Ministère de l'Economie et des Finances , DMTA,9994600.00,F CFA,TTC,CCKR-SUARL
107,2011-02-02,F0105/11,2011,Fourniture de produits phytosanitaires,Appel d'offres restreint,Fournitures,"Ministère de l'Habitat , de la Construction et de l'Hydraulique",,3998750000.00,F CFA,HD-HT,E.G.F.E.D
108,2011-02-02,F0106/11,2010,Fourniture de trois (03) véhicules 4X4 Land Cruiser au Secrétariat Général de la Présidence de la République,Appel d'offres ouvert,Fournitures,Secrétariat Général de la Présidence de la République, SAGE,150000000.00,F CFA,TTC,CFAO Motors Sénégal
104,2011-02-02,T0102/11,2010,Travaux pour la réalisation d'une installation d'équipements sur l'avion de transport CASA 212 de l'armée de l'aire,Entente directe,Travaux,Ministère des Forces Armées ,,47970130.00,F CFA,TTC,Rotor & Aircraft
102,2011-02-02,T0107/11,2011,"Avenant n°5 au marché TA3/439/ATR du 09/05/07 relatif la mise en place des crédits pour les travaux de réhabilitation, d'élargissement et de construction de routes, d'aménagements paysagers et de trottoirs à Touba dans la région de Diourbel (gestion 2007, 2008, 2009, 2010, 2011)",Avenant,Travaux,Agence des Travaux et de Gestion des Routes du Sénégal (AGEROUTE), AATR,9488057506.00,F CFA,TTC,Groupement GCI HENAN CHINE/RENOLITH CO.LTD
109,2011-02-02,T0109/11,2010,Travaux de construction du centre de santé de PETE,Appel d'offres ouvert,Travaux,Agence d'Execution des Travaux d'Intérêt Public contre le sous-emploi AGETIP,,826898344.00,F CFA,HD-HT,S.E.B.T.P.A SARL
112,2011-02-03,F0112/11,2010,Fourniture et Installation d'une unité de traitement d'eau pour la nouvelle unité de dialyse de l'hôpital Aristide Le Dantec,Appel d'offres ouvert,Fournitures,Hôpital Aristide Le Dantec,,82246000.00,F CFA,TTC,DIMINTER
113,2011-02-03,F0113/11,2010,"Fourniture de pièces détachées d'origine pour camions de transport, camionnettes tactiques et de rechanges pour véhicules gamme commercial, de matériels et réparation injection, de peinture, batteries, de lots de pneumatiques au profit de la DMA (lot n° 5)",Appel d'offres ouvert,Fournitures,Ministère des Forces Armées , MFA,15000000.00,F CFA,HD-HT,TOUBA DIESEL SARL
114,2011-02-03,F0114/11,2010,"Fourniture de pièces détachées d'origine pour camions de transport, camionnettes tactiques et de rechanges pour véhicules gamme commercial, de matériels et réparation injection, de peinture, batteries, de lots de pneumatiques au profit de la DMA (lot n° 2)",Appel d'offres ouvert,Fournitures,Ministère des Forces Armées , MFA,15000000.00,F CFA,HD-HT,MONDIAL AUTO PIECES
115,2011-02-03,F0115/11,2010,"Fourniture de pièces détachées d'origine pour camions de transport, camionnettes tactiques et de rechanges pour véhicules gamme commercial, de matériels et réparation injection, de peinture, batteries, de lots de pneumatiques au profit de la DMA (lot n° 3)",Appel d'offres ouvert,Fournitures,Ministère des Forces Armées , MFA,15000000.00,F CFA,HD-HT,Keur Mame DIARRA
116,2011-02-03,F0116/11,2010,"Fourniture de pièces détachées d'origine pour camions de transport, camionnettes tactiques et de rechanges pour véhicules gamme commercial, de matériels et réparation injection, de peinture, batteries, de lots de pneumatiques au profit de la DMA (lot n° 4)",Appel d'offres ouvert,Fournitures,Ministère des Forces Armées , MFA,15000000.00,F CFA,HD-HT,Keur Mame DIARRA
117,2011-02-03,F0117/11,2010,"Fourniture de pièces détachées d'origine pour camions de transport, camionnettes tactiques et de rechanges pour véhicules gamme commercial, de matériels et réparation injection, de peinture, batteries, de lots de pneumatiques au profit de la DMA (lot n° 7)",Appel d'offres ouvert,Fournitures,Ministère des Forces Armées , MFA,15000000.00,F CFA,HD-HT,Ets DIAGNE & Fréres
118,2011-02-03,F0118/11,2010,"Fourniture de pièces détachées d'origine pour camions de transport, camionnettes tactiques et de rechanges pour véhicules gamme commercial, de matériels et réparation injection, de peinture, batteries, de lots de pneumatiques au profit de la DMA (lot n° 6)",Appel d'offres ouvert,Fournitures,Ministère des Forces Armées , MFA,15000000.00,F CFA,HD-HT,AZ COLOR
110,2011-02-03,T0110/11,2010,Construction de dix (10) nouveaux puits maraîchers situés dans les régions de Ziguinchor et de Sédhiou,Appel d'offres ouvert,Travaux,Ministère de l'Agriculture , PADERCA,46691897.00,F CFA,TTC,GIE Keur Khadim
111,2011-02-03,T0111/11,2010,Construction de vingt (20) nouveaux puits maraîchers situés dans les régions de Ziguinchor et de Sédhiou,Appel d'offres ouvert,Travaux,Ministère de l'Agriculture , PADERCA,93807780.00,F CFA,TTC,ETS OUSMANE COLY (EBTP)
121,2011-02-07,C0119/11,2010,Réalisation d'une étude portant reformulation du programme de relance des activités économiques et sociales en Casamance (PRAESC),DP/LR,Prestations intellectuelles,Primature,Secrétariat Général du Gouvernement / ANRAC,58596835.00,F CFA,TTC,IDEV-IC Ex SENAGROSOL
119,2011-02-07,F0123/11,2010,"Fourniture de pièces détachées d'origine pour camions de transport, camionnettes tactiques et de rechanges pour véhicules gamme commercial, de matériels et réparation injection, de peinture, batteries, de lots de pneumatiques au profit de la DMA (lot n° 8)",Appel d'offres ouvert,Fournitures,Ministère des Forces Armées , MFA,15000000.00,F CFA,HD-HT,SICAS sa
120,2011-02-07,F0124/11,2010,"Fourniture de pièces détachées d'origine pour camions de transport, camionnettes tactiques et de rechanges pour véhicules gamme commercial, de matériels et réparation injection, de peinture, batteries, de lots de pneumatiques au profit de la DMA (lot n° 9)",Appel d'offres ouvert,Fournitures,Ministère des Forces Armées , MFA,15000000.00,F CFA,HD-HT,Ets Sérigne Naury GAYE
124,2011-02-07,S0122/11,2010,Avenant n° 1 au marché n° S0565/10 relatif à la restauration des malades et personnel de garde du CHNP,Avenant,Services courants,Centre Hospitalier National de Pikine, CHNP,23873105.00,F CFA,TTC,LOGISTIQUE ASSISTANCE
122,2011-02-07,T0120/11,2010,"Construction d'un foyer de la femme, d'un hôtel de ville et d'une gare routière dans la Commune de GUINGUINEO (lot n°1)",Appel d'offres ouvert,Travaux,Agence d'Execution des Travaux d'Intérêt Public contre le sous-emploi AGETIP,,88375230.00,F CFA,HD-HT,EGBTP Alssane NDIAYE
123,2011-02-07,T0121/11,2010,"Construction d'un foyer de la femme, d'un hôtel de ville et d'une gare routière dans la Commune de GUINGUINEO (lot n°2)",Appel d'offres ouvert,Travaux,Agence d'Execution des Travaux d'Intérêt Public contre le sous-emploi AGETIP,,112875111.00,F CFA,HD-HT,SENTEC
125,2011-02-08,T0125/11,2010,"Travaux d'entretien courant des routes revêtues dans les régions de Ziguinchor, Kolda et Sédhiou (lots n°1, 2 et 3)",Appel d'offres ouvert,Travaux,Agence des Travaux et de Gestion des Routes du Sénégal (AGEROUTE),,737160726.00,F CFA,TTC,AREZKI
126,2011-02-09,F0126/11,2011,"Acquisition de matériels roulants (lot n° 2 : 01 véhicule pick up 4X4 double cabines, diesel climatisé avec malle fermée) au profit de la Direction de l'Education Surveillée et de la Protection Sociale",Appel d'offres ouvert,Fournitures,Ministère de la Justice ,,12600000.00,F CFA,TTC,Espace Auto
127,2011-02-09,F0127/11,2010,Acquisition de matériels roulants (lot n° 3: 02 bus de transport de 36 places diesel climatisés) au profit de la Direction de l'Education Surveillée et de la Protection Sociale,Appel d'offres ouvert,Fournitures,Ministère de la Justice ,,72000000.00,F CFA,TTC,Espace Auto
128,2011-02-10,F0128/11,2010,Fourniture et installation d'équipements informatiques,Appel d'offres ouvert,Fournitures,Ministère de l'Economie et des Finances , DSPRV,155896830.00,F CFA,TTC,Plateform Technologies sa
130,2011-02-10,F0130/11,2011,Fourniture de véhicules à la DDI et à la DCEF,Appel d'offres ouvert,Fournitures,Ministère de l'Economie et des Finances , DDI,35000000.00,F CFA,HD-HT,SERA
129,2011-02-10,S0129/11,2011,Avenant de renouvellement n° 1 au marché n° S0920/09 relatif à la couverture assurance maladie du personnel de l'ANSD et de leurs ayants droits,Avenant,Services courants,Ministère de l'Economie et des Finances , ANSD,116142800.00,F CFA,TTC,NSIA SENEGAL
131,2011-02-11,S0131/11,2011,Avenant de renouvellement n°1 au marché n° S0237/10 relatif à la gestion et l' exploitation du restaurant Argentin,Avenant,Services courants,COUD,,850000000.00,F CFA,TTC,GIE Aïda Ka Ngane BA
132,2011-02-11,S0132/11,2011,Avenant de renouvellement n°1 au marché n° S0403/10 relatif à la gestion et l'exploitation du restaurant universitaires SELF: lot n° 4,Avenant,Services courants,COUD,,600000000.00,F CFA,TTC,Guèye et Associés
133,2011-02-11,S0133/11,2011,"Avenant de renouvellement n°1 au marché n° S0404/10 relatif à la gestion et l'exploitation des restaurants universitaires Bloc de Bambey (Bambey, Diourbel, Ngoudiane et Lambaye): lot n° 2",Avenant,Services courants,COUD,,350000000.00,F CFA,TTC,Guèye et Associés
134,2011-02-11,S0134/11,2011,Avenant renouvellement n°1 au marché S0238/10 relatif à la gestion et l'exploitation du restaurant FASTEF ex ENS,Avenant,Services courants,COUD,,450000000.00,F CFA,TTC,Group LINDOR SARL
135,2011-02-14,F0135/11,2011,Avenant de renouvellement n°1 au marché de clientèle n° F0222/10 relatif à la fourniture d'imprimés (lot n°2),Avenant,Fournitures,COUD,,30374050.00,F CFA,TTC,AVITECH
136,2011-02-15,F0136/11,2010,Avenant n°1 au marché n° 1283/10 relatif à l'acquisition de fournitures de bureau pour le CFJ (lot n°1),Avenant,Fournitures,Ministère de la Justice , CFJ,1125500.00,F CFA,TTC,PAPEX
138,2011-02-15,F0138/11,2011,Fourniture de citernes souples d'eau lors du Magal de Touba 2011,Appel d'offres ouvert,Fournitures,"Ministère de l'Habitat , de la Construction et de l'Hydraulique",,22656000.00,F CFA,TTC,TOUBA MATERIAUX
139,2011-02-15,F0139/11,2011,Fourniture d'hypochlorite de calcium pour la potabilisation de l'eau lors du Magal de Touba 2011,Appel d'offres ouvert,Fournitures,"Ministère de l'Habitat , de la Construction et de l'Hydraulique",,53100000.00,F CFA,TTC,International Company of Trade and Services (ICTS)
137,2011-02-15,S0137/11,2011,Location de camions-citernes pour le ravitaillement en eau potable des pèlerins lors du Magal de Touba de 2011,Appel d'offres ouvert,Services courants,"Ministère de l'Habitat , de la Construction et de l'Hydraulique",,83211240.00,F CFA,TTC,KHAIRA ENTREPRISE
140,2011-02-18,F0140/11,2010,Acquisition de matériels roulants au profit de la primature (lots n° 1 et 2: 2 Volkswagen Touareg V6 «Exécutive» et 2 Chery «Cowin»),Appel d'offres ouvert,Fournitures,Primature,Secrétariat Général du Gouvernement,74000000.00,F CFA,TTC,Espace Auto
141,2011-02-18,F0141/11,2010,"Fourniture de divers mobiliers et matériels d'appartement destinés à Monsieur Alioune DIOP, Directeur de Cabinet Adjoint politique du Président de la République",Entente directe,Fournitures,Ministère de l'Economie et des Finances , DMTA,10000000.00,F CFA,TTC,A.D.PREST Suarl
142,2011-02-18,T0142/11,2010,"Construction, extension et réhabilitation d'infrastructures sanitaires de base dans les régions de Louga, St Louis et Matam: lot n°1",Appel d'offres ouvert,Travaux,Agence d'Execution des Travaux d'Intérêt Public contre le sous-emploi AGETIP,,187888326.00,F CFA,HD-HT,DAROU SALAM sarl
143,2011-02-18,T0143/11,2011,"Construction, extension et réhabilitation d'infrastructures sanitaires de base dans les régions de Louga, St Louis et Matam: lot n°2",Appel d'offres ouvert,Travaux,Agence d'Execution des Travaux d'Intérêt Public contre le sous-emploi AGETIP,,245944904.00,F CFA,HD-HT,DAROU SALAM sarl
145,2011-02-21,F0145/11,2010,"Fourniture en sept (07) lots de ligatures chirurgicales et produits associés (lots n° 1, 2, 5, 6 et 7)",Appel d'offres ouvert,Fournitures,Hôpital Principal de Dakar,,82406745.00,F CFA,HD-HT,DIMINTER
147,2011-02-22,C0147/11,2011,Avenant n°2 relatif à la suppression des taxes pour le marché d'assistance de maîtrise d'ouvrage pour les travaux de réhabilitation du pont Faidherbe de Saint-Louis,Avenant,Prestations intellectuelles,Agence des Travaux et de Gestion des Routes du Sénégal (AGEROUTE), AATR,220557014.00,F CFA,HT,Groupement ISM - DIATEC
146,2011-02-22,F0146/11,2011,Avenant de renouvellement n°1 au marché à commande n°F0287/10 relatif à la fourniture de tickets de restaurants (lot n°1),Avenant,Fournitures,COUD,,250000000.00,F CFA,TTC,Touba Imprimerie
148,2011-02-23,F0148/11,2011,Réimpression de manuels scolaires de l'Enseignement Elémentaire (lots N° 2 et 3),Appel d'offres international,Fournitures,"Ministère de l'Education chargé de l'Enseignement Préscolaire, de l'Elémentaire et du Moyen", DAGE,336035397.00,F CFA,HD-HT,Imprimerie Beta
149,2011-02-23,F0149/11,2011,Acquisition d'un (01) véhicule 4X4 Station wagon Chassis long de marque NISSAN PATHFINDER et un (01) véhicule Berline RENAULT SANDERO luxe 1.6,Appel d'offres ouvert,Fournitures,Ministère de l'Economie et des Finances , CENTIF,40500000.00,F CFA,TTC,SERA
152,2011-02-23,F0152/11,2011,Equipement de 157 salles de classe et de 19 blocs administratifs dans le département de Podor (lot n° 2),Appel d'offres ouvert,Fournitures,Agence d'Execution des Travaux d'Intérêt Public contre le sous-emploi AGETIP,,41438400.00,F CFA,HD-HT,DUCHKA PRES SERVICES SARL
153,2011-02-23,F0153/11,2011,Equipement de 218 salles de classes et de 30 blocs administratifs dans le département de Kaffrine (lot n° 2),Appel d'offres ouvert,Fournitures,Agence d'Execution des Travaux d'Intérêt Public contre le sous-emploi AGETIP,,49619000.00,F CFA,HD-HT,DUCHKA PRES SERVICES SARL
150,2011-02-23,T0150/11,2010,"Construction de maternités et dispensaires dans trois postes de santé du district sanitaire de Diouloulou: Badiana, Selety et Diatock",Appel d'offres ouvert,Travaux,Agence d'Execution des Travaux d'Intérêt Public contre le sous-emploi AGETIP,,141505929.00,F CFA,HD-HT,Entreprise ALHAMDOULILAH
151,2011-02-23,T0151/11,2011,Construction de deux postes de santé à Touba Linguére et Diagaly dans la Communauté rurale de BARKEDJI,Appel d'offres ouvert,Travaux,Communauté rurale de BARKEDJI , CR BARKEDJI,98679216.00,F CFA,TTC,Baye Dame Global Business
154,2011-02-23,T0154/11,2011,Réhabilitation des bretelles et renforcement de l'éclairage de l'aéroport Léopold Sédar SENGHOR de Dakar (lot n°1),Appel d'offres ouvert,Travaux,Agence des aéroports du Sénégal (ADS),,192847400.00,F CFA,TTC,Synergies Afrique
155,2011-02-23,T0155/11,2011,Réhabilitation du balisage électrique de la piste de l'aéroport de Saint Louis (lot n° 2),Appel d'offres ouvert,Travaux,Agence des aéroports du Sénégal (ADS),,387831450.00,F CFA,TTC,Synergies Afrique
157,2011-02-25,C0157/11,2011,Avenant n°1 au marché n° C0708/09 relatif au contrôle des travaux de la composante 3 du projet d'Alimentation en Eau Potable des localités de l'axe Notto-Ndiosmone-Palmarin,Avenant,Prestations intellectuelles,Ministère de l'Hydraulique rurale et du Réseau Hydrographique national,,53395000.00,F CFA,TTC,Groupement ESCI/CSTI
156,2011-02-25,F0156/11,2010,Fourniture de matériels d'exploitation: groupes froids pour la morgue (lot n° 3),Appel d'offres ouvert,Fournitures,Hôpital Principal de Dakar,,13855560.00,F CFA,TTC,Pièces Matériels Import (PMI)
159,2011-02-28,F0159/11,2011,Avenant de renouvellement n° 1 au marché n° F1209/10 relatif à la fourniture de denrées alimentaires (lot n° 1),Avenant,Fournitures,Centre hospitalier national psychatrique de thiaroye,,39000000.00,F CFA,TTC,Ets Elimane FALL
160,2011-02-28,F0160/11,2011,Avenant de renouvellement n° 1 au marché n° F1207/10 relatif à la fourniture de denrées alimentaires (lot n° 4: viande),Avenant,Fournitures,Centre hospitalier national psychatrique de thiaroye,,10100000.00,F CFA,TTC,Entreprise Keur Serigne Fallou (EKSF)
161,2011-02-28,F0161/11,2011,Avenant de renouvellement n° 1 au marché n° F1206/10 relatif à la fourniture de denrées alimentaires (lot n° 3: poisson),Avenant,Fournitures,Centre hospitalier national psychatrique de thiaroye,,6800000.00,F CFA,TTC,Ets Elimane FALL
162,2011-02-28,F0162/11,2011,Avenant de renouvellement n° 1 au marché n° F1206/10 relatif à la fourniture de denrées alimentaires (lot n° 2: légumes),Avenant,Fournitures,Centre hospitalier national psychatrique de thiaroye,,6200000.00,F CFA,TTC,Entreprise Keur Serigne Fallou (EKSF)
163,2011-03-01,F0163/11,2010,"Fourniture de trois (03) véhicules (lots n° 1, 2 et 3 : 1 véhicule 4 WD PICK UP, 1 berline compacte et 1 véhicule 4WD STATION WAGON)",Appel d'offres ouvert,Fournitures,CNQP,,46500000.00,F CFA,TTC,Africaine de l'Automobile
165,2011-03-01,F0165/11,2010,Fourniture et l'installation de matériels de médecine aéronautique (lot n° 4 : matériel de radiologie),Appel d'offres ouvert,Fournitures,Agence Nationale de l'Aviation Civile du Sénégal,,163661883.00,F CFA,TTC,Science & Technology Engineering (STE)
164,2011-03-01,T0164/11,2010,Construction du CDFP de Richard Toll,Appel d'offres ouvert,Travaux,Agence d'Execution des Travaux d'Intérêt Public contre le sous-emploi AGETIP,,252949256.00,F CFA,HD-HT,Entreprise Bâtiment et Travaux Publics (EBTP) Papa LO
166,2011-03-04,F0166/11,2011,Acquisition de fournitures scolaires (lot n° 1),Appel d'offres ouvert,Fournitures,Commune d'Arrondissement de Dakar Plateau,,11422000.00,F CFA,TTC,Société Industrielle de Papeterie au Sénégal (SIPS)
167,2011-03-04,F0167/11,2011,Acquisition de fournitures scolaires (lot n° 2),Appel d'offres ouvert,Fournitures,Commune d'Arrondissement de Dakar Plateau,,12844300.00,F CFA,TTC,FERMON LABO
168,2011-03-07,C0168/11,2010,"Avenant n°1 pour le changement de co-contractant agissant au nom et pour le compte de l'Etat relatif au marché d'études architecturales et de suivi de la réalisation des projets de construction de la gendarmerie, de la grande mosquée, du complexe sportif et de la gare routière dans le cadre du programme spécial 2005 Fatick",Avenant,Prestations intellectuelles,"Ministère de l'Habitat , de la Construction et de l'Hydraulique", MHCH,0.00,F CFA,TTC,Groupement A-Prime/Afric' ARCHITECTURE ET PARTENAIRES
170,2011-03-07,F0170/11,2010,"fourniture de pièces détachées d'origine pour camions de transport, camionnettes tactiques et de rechanges pour véhicules gamme commercial, de matériels et réparation injection, de peinture, batteries, de lots de pneumatiques au profit de la DMA (lot n° 1)",Appel d'offres ouvert,Fournitures,Ministère des Forces Armées , MFA,15000000.00,F CFA,HD-HT,Ets DIAGNE & Fréres
169,2011-03-07,T0169/11,2010,Avenant n°2 pour le changement de co-contractant agissant au nom et pour le compte de l'Etat relatif aux études et supervision des aménagements paysagers dans le cadre du programme spécial Fatick 2005,Avenant,Travaux,"Ministère de l'Habitat , de la Construction et de l'Hydraulique",,0.00,F CFA,TTC,AFRIC CONSULT
171,2011-03-07,T0171/11,2011,"Achèvement des travaux de construction de la liaison routière: Avenue Lamine Guèye - Place du Tirailleur d'environ 0,9 km",Appel d'offres ouvert,Travaux,Agence des Travaux et de Gestion des Routes du Sénégal (AGEROUTE),,1940776773.00,F CFA,TTC,Eiffage Sénégal SA
